"rules","support","confidence","coverage","lift","count"
"493","{Pair=EURCAD,Time=0,Local Correct=1,Global Correct=1} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"494","{Pair=EURCAD,Time=0,Local Correct=0,Global Correct=0} => {TP=1}",0.0055045871559633,0.375,0.0146788990825688,1.0534793814433,3
"495","{Pair=GBPJPY,Time=0,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"496","{Pair=GBPJPY,Time=0,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"497","{Pair=XAUUSD,Time=5,Local Correct=1,Global Correct=1} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"498","{Pair=XAUUSD,Time=5,Local Correct=0,Global Correct=0} => {TP=1}",0.0073394495412844,0.5,0.0146788990825688,1.40463917525773,4
"499","{Pair=XAUUSD,Time=5,Local Correct=0,Global Correct=1} => {TP=1}",0.0073394495412844,0.5,0.0146788990825688,1.40463917525773,4
"500","{Pair=AUDNZD,Time=5,Local Correct=1,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"501","{Pair=AUDNZD,Time=5,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"502","{Pair=AUDNZD,Time=5,Local Correct=0,Global Correct=1} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"503","{Pair=EURCAD,Time=5,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,0.5,0.0073394495412844,1.40463917525773,2
"504","{Pair=EURCAD,Time=5,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"505","{Pair=GBPJPY,Time=5,Local Correct=1,Global Correct=0} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"506","{Pair=GBPJPY,Time=5,Local Correct=0,Global Correct=0} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
